PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.00235uM_(%)_TEST1,Activity_at_0.0026uM_(%)_TEST1,Activity_at_0.0068uM_(%)_TEST1,Activity_at_0.0075uM_(%)_TEST1,Activity_at_0.008uM_(%)_TEST1,Activity_at_0.021uM_(%)_TEST1,Activity_at_0.0235uM_(%)_TEST1,Activity_at_0.06uM_(%)_TEST1,Activity_at_0.068uM_(%)_TEST1,Activity_at_0.18uM_(%)_TEST1,Activity_at_0.195uM_(%)_TEST1,Activity_at_0.21uM_(%)_TEST1,Activity_at_0.56uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_0.68uM_(%)_TEST1,Activity_at_1.6uM_(%)_TEST1,Activity_at_1.8uM_(%)_TEST1,Activity_at_1.95uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_5.6uM_(%)_TEST1,Activity_at_15uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_46uM_(%)_TEST1,Activity_at_50uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.0235uM_(%)_TEST2,Activity_at_0.068uM_(%)_TEST2,Activity_at_0.21uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_50uM_(%)_TEST2
50,131449960,54653538,COCC(=O)N1C[C@@H]2[C@@H]([C@@H](N2CC3=CC=C(C=C3)OC)CO)C4=CC=CC=C41,Inactive,0,,,,,,1,0,,,,,,-4.24128,-4.24128,17,-25,16,50,,-8.333,,8.877,,,-3.986,,8.877,,,0.362,,8.696,,,-12.681,,,-21.014,,-25,,,0,,,,,,,,,,,,,,,,,,,,,
51,131414959,54619803,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=CC=C3F)O[C@H]1CN(C)C(=O)C4=CC5=C(C=C4)OCO5)[C@H](C)CO,Inactive,0,,,,,,1,0,,,,,,-4.16667,-4.16667,16,26.087,50,50,,-8.333,,-12.681,,,0,,0,,,-8.514,,,,,-4.348,,,0.181,,-16.848,,,26.087,,,,,,,,,,,,,,,,,,,,,
52,131426923,54631128,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=C(C=C3)F)O[C@H]1CN(C)C(=O)NC4CCCCC4)[C@H](C)CO,Active,51,,,=,7.62,5.118,2,51,,=,7.62,5.118,1.13,21.963,-100,17,-63.095,16,16,,17.857,,26.786,,,17.262,,19.048,,,25.595,,16.071,,,0,,,-27.976,,-63.095,,,,,,,,,,,,,,,,,,,,,,,,
53,87540298,44617095,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@@H](C)CO)C)CN(C)C(=O)C4CCCCC4,Active,48,,,=,15.85,4.800,2,48,,=,15.85,4.800,0.532,25,-100,16,-36.905,5.6,16,,22.619,,35.714,,,21.429,,19.048,,25,,,13.095,,,-9.524,,,-36.905,,-23.81,,,,,,,,,,,,,,,,,,,,,,,,
54,144192338,60186588,C1[C@H]2[C@@H]([C@H](N2C(=O)CN1C(=O)CC3=CC=CC=C3)CO)C4=CC=C(C=C4)C5=CC=CC=C5,Active,46,,,=,24.58,4.609,2,46,,=,24.58,4.609,1.721,2.979,-190.213,18,-59.783,16,16,,8.514,,8.696,,,-8.696,,3.804,,,0,,12.862,,,-9.058,,,-8.514,,-59.783,,,,,,,,,,,,,,,,,,,,,,,,
55,87542504,44619298,C[C@@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Inactive,0,,,,,,1,0,,,,,,5.702,100,19,163.636,50,50,,-9.091,,9.091,,,13.636,,22.727,,,0,,9.091,,,0,,,13.636,,0,,,163.636,,,,,,,,,,,,,,,,,,,,,
56,85798485,44491808,C[C@@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)CC3=CN(C4=CC=CC=C43)C)O[C@@H]1CN(C)CC5=CC(=C(C=C5)Cl)Cl)[C@H](C)CO,Inactive,0,,,,,,1,0,,,,,,7.378,100,19,67.935,50,50,,0.181,,4.167,,,12.681,,17.391,,,12.5,,12.862,,,0.181,,,4.348,,8.696,,,67.935,,,,,,,,,,,,,,,,,,,,,
57,131460504,54664991,CN1[C@H]([C@H]2CCN([C@H]2C3=C1C=CC(=C3)C4=CC=C(C=C4)F)S(=O)(=O)C5=CC=C(C=C5)OC)CO,Active,48,,,=,16,4.796,2,48,,=,16,4.796,0.5,16.074,-100,18,-36.364,5.6,16,,9.091,,13.636,,,22.727,,4.545,,,0,,-4.545,,,-13.636,,,-36.364,,-22.727,,,,,,,,,,,,,,,,,,,,,,,,
58,85790901,44484471,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)N(C)C)O[C@@H]1CN(C)CC3=CC=CC=C3)[C@@H](C)CO,Active,54,,,=,3.78,5.423,2,54,,=,3.78,5.423,4,14.071,-43.29,18,-50,50,50,,13.095,,,11.905,,22.024,,,,,22.024,,-0.595,,,,13.095,,-35.119,,,-35.714,,-50,,,,,,,,,,,,,,,,,,,,,
59,131437967,54641646,CCNC(=O)C[C@@H]1C=C[C@H]([C@@H](O1)CO)NC(=O)NC2CCCCC2,Inactive,0,,,,,,1,0,,,,,,0.956931,0.956931,19,21.212,50,50,,-4.167,,-4.167,,,8.333,,4.545,,,4.167,,-3.788,,,-8.712,,,0,,-4.167,,,21.212,,,,,,,,,,,,,,,,,,,,,
60,131418930,54623484,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C3=CC=C(C=C3)C)O[C@@H]1CN(C)CC4=CC=CC=N4)[C@H](C)CO,Active,53,,,=,5.08,5.294,2,53,,=,5.08,5.294,2.083,16.596,-100,18,-81.818,16,16,,4.545,,4.545,,,20.833,,21.591,,,21.97,,21.97,,,9.091,,,-52.273,,-81.818,,,,,,,,,,,,,,,,,,,,,,,,
61,131461766,54666253,CN1[C@@H]([C@H]2CCN([C@H]2C3=C1C=CC(=C3)C4=CC=C(C=C4)OC)S(=O)(=O)C5=CC=C(C=C5)OC)CO,Active,50,,,=,9.59,5.018,2,50,,=,9.59,5.018,4,-4.779,-110,17,-100,16,16,,-4.545,,0,,,9.091,,0,,,-4.545,,-18.182,,,-9.091,,,-13.636,,-100,,,,,,,,,,,,,,,,,,,,,,,,
62,131464017,54668504,CC1=CC=C(C=C1)C2=CC=C(C=C2)[C@@H]3[C@H]4CN(CCCCN4[C@@H]3CO)C(=O)NC5=CC(=CC=C5)F,Inactive,0,,,,,,1,0,,,,,,15.063,100,18,111.31,16,16,,-5.357,,30.952,,,10.119,,30.952,,,-1.19,,26.191,,,8.333,,,39.286,,111.31,,,,,,,,,,,,,,,,,,,,,,,,
63,131410244,54615209,C[C@@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)[C@@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Inactive,0,,,,,,1,0,,,,,,7.6923,7.6923,13,13.636,5.6,50,,9.091,,9.091,,,,,9.091,,,4.545,,0,,,4.545,,,13.636,,,,,9.091,,,,,,,,,,,,,,,,,,,,,
64,87542748,44619542,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)N(C)C)[C@@H](C)CO)C)CN(C)C(=O)CC3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,46.5378,46.5378,18,95.471,0.068,50,,91.485,,-8.333,,,91.485,,95.471,,,0.181,,12.862,,,82.428,,,52.717,,-21.014,,,34.783,,,,,,,,,,,,,,,,,,,,,
65,131460954,54665441,CN1[C@@H]([C@H]2CCN([C@H]2C3=C1C=CC(=C3)C4=CC=C(C=C4)F)S(=O)(=O)C5=CC=CC(=C5)F)CO,Active,54,,,=,4.41,5.356,2,54,,=,4.41,5.356,1.579,5.887,-100,18,-93.841,15,15,4.167,,21.377,,,0.181,,4.71,,,4.348,,-4.348,,,,-17.029,,-46.739,,-93.841,,,,,,,,,,,,,,,,,,,,,,,,,
66,144197386,60191367,CCS(=O)(=O)N1C[C@@H]2[C@H]([C@@H](N2C(=O)C1)CO)C3=CC=C(C=C3)C#CCC(C)C,Inactive,0,,,,,,1,0,,,,,,7.093,100,17,42.572,50,50,,3.986,,0,,,12.862,,12.681,,,4.348,,8.333,,,8.696,,,12.862,,16.667,,,42.572,,,,,,,,,,,,,,,,,,,,,
67,144194252,60188270,COC1=CC(=CC=C1)S(=O)(=O)N2C[C@@H]3C([C@H](C2)N3)C4=CC=C(C=C4)C5=CC(=CC=C5)OC,Active,49,,,=,13.46,4.871,2,49,,=,13.46,4.871,2.152,-10.235,-100,16,-63.636,16,16,-12.879,,,-4.167,,-16.667,,,-12.879,,0,,,-17.424,,,-12.5,,,-21.591,,-63.636,,,,,,,,,,,,,,,,,,,,,,,,
68,131456068,54659599,C1C[C@@H]2[C@H](COC[C@H](CN2S(=O)(=O)C3=CC=CC=C3)O)O[C@H]1CC(=O)NC4=CC=C(C=C4)C5=CC=CC=C5,Inactive,0,,,,,,1,0,,,,,,20.003,100,19,60.985,50,50,,8.333,,17.424,,,21.591,,21.97,,,26.136,,21.591,,,12.879,,,26.515,,26.515,,,60.985,,,,,,,,,,,,,,,,,,,,,
69,85798426,44491750,C[C@@H]1CN(C(=O)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)O[C@@H]1CN(C)CC4=CC=C(C=C4)C(F)(F)F)[C@@H](C)CO,Inactive,0,,,,,,1,0,,,,,,-1.488,100,17,121.739,50,50,,0,,8.696,,,-8.152,,-16.848,,,-0.181,,12.862,,,-8.333,,,4.348,,-16.667,,,121.739,,,,,,,,,,,,,,,,,,,,,
70,131413374,54618289,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)/C=C/C3=CC=CC=C3)O[C@H]1CN(C)C(=O)NC4CCCCC4)[C@H](C)CO,Inactive,0,,,,,,1,0,,,,,,7.811,100,20,76.268,50,50,,-4.348,,-0.181,,,12.5,,12.5,,,3.986,,16.848,,,12.681,,,8.696,,12.681,,,76.268,,,,,,,,,,,,,,,,,,,,,
71,131413244,54618168,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CCC3CCCC3)O[C@@H]1CN(C)C(=O)NC4=C(ON=C4C)C)[C@@H](C)CO,Inactive,0,,,,,,1,0,,,,,,13.836,13.836,16,66.667,50,50,,0,,17.029,,,12.862,,8.333,,,8.877,,0,,,13.043,,,12.862,,8.514,,,66.667,,,,,,,,,,,,,,,,,,,,,
72,87541727,44618522,C[C@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@H](C)CO)C)CN(C)CC4=CC=C(C=C4)OC,Inactive,0,,,,,,1,0,,,,,,3.171,100,17,136.364,50,50,,7.955,,9.47,,,-8.333,,-3.788,,,14.394,,0.758,,,8.333,,,9.47,,-16.667,,,136.364,,,,,,,,,,,,,,,,,,,,,
73,131460952,54665439,CN1[C@H]([C@H]2CCN([C@H]2C3=C1C=CC(=C3)C4=CC=C(C=C4)F)S(=O)(=O)C5=CC=CC(=C5)F)CO,Active,51,,,=,7.66,5.116,2,51,,=,7.66,5.116,4,-3.009,-120,18,-122.727,18,18,,0,,,9.091,,-4.545,,0,,,0,,-4.545,,,,-22.727,,-27.273,,,-122.727,,,,,,,,,,,,,,,,,,,,,,,
74,144195692,60189670,CCCNC(=O)N1CC2(CN(C2)CC3CCCCC3)C4=C([C@H]1CO)N(C5=C4C=CC(=C5)OC)C,Inactive,0,,,,,,1,0,,,,,,-10.5263,-10.5263,19,-31.818,50,50,,-4.545,,-18.182,,,4.545,,0,,,4.545,,-9.091,,,-4.545,,,-18.182,,-27.273,,,-31.818,,,,,,,,,,,,,,,,,,,,,
75,131413916,54618815,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)/C=C/C3=CC=CC=C3)O[C@H]1CN(C)CC4=CC=CC=C4)[C@@H](C)CO,Inactive,0,,,,,,1,0,,,,,,15.3439,15.3439,18,57.738,50,50,,17.262,,9.524,,,13.095,,,,,7.143,,39.881,,,8.929,,,4.167,,-19.643,,,57.738,,,,,,,,,,,,,,,,,,,,,
76,144190445,60184899,CN1C=C(N=C1)S(=O)(=O)N2CC3(CCN(CC3)CC4CCCCC4)C5=C([C@H]2CO)NC6=C5C=CC(=C6)OC,Inactive,0,,,,,,1,0,,,,,,10.982,100,17,43.478,50,50,,12.681,,8.514,,,21.558,,13.043,,,0,,12.681,,,12.862,,,16.667,,26.087,,,43.478,,,,,,,,,,,,,,,,,,,,,
77,144197574,60191552,C1CCC(=CC1)C2=CC3=C(C=C2)N[C@H]([C@@H]4[C@H]3N(CC4)C(=O)C5=CN=CC=C5)CO,Inactive,0,,,,,,1,0,,,,,,-3.04349,-3.04349,15,-17.391,0.0026,50,,-17.391,,-8.696,,,0,,-4.348,,,-0.181,,8.333,,,-17.391,,,0,,-4.529,,,3.804,,,,,,,,,,,,,,,,,,,,,
78,131460680,54665167,COC1=CC=C(C=C1)C2=CC3=C(C=C2)N[C@@H]([C@@H]4[C@H]3N(CC4)S(=O)(=O)C5=CC=C(C=C5)OC)CO,Active,51,,,=,7.37,5.133,2,51,,=,7.37,5.133,2.637,-0.423,-130,17,-112.879,15,15,-0.379,,-0.379,,,0,,-4.545,,,0,,4.167,,,-4.167,,,-34.47,,-112.879,,,,,,,,,,,,,,,,,,,,,,,,,
79,85814316,44507092,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)N(C)C)O[C@@H]1CN(C)CC3=CC=C(C=C3)C(=O)NC4=CC=CC=C4N)[C@@H](C)CO,Active,50,,,=,10.32,4.986,2,50,,=,10.32,4.986,4,6.216,-43.784,17,-33.333,16,50,,8.514,,-3.986,,,0.181,,17.391,,,4.529,,0.181,,,4.71,,,8.877,,-33.333,,,-25,,,,,,,,,,,,,,,,,,,,,
80,144194288,60188301,CCCC#CC1=CC=C(C=C1)[C@@H]2[C@@H]3CN(CC(=O)N3[C@H]2CO)C(=O)NC4=C(C=CC(=C4)F)F,Inactive,0,,,,,,1,0,,,,,,4.295,100,17,45.454,50,50,,9.091,,9.091,,,13.636,,0,,,-4.545,,4.545,,,9.091,,,0,,-4.545,,,45.455,,,,,,,,,,,,,,,,,,,,,
81,131438622,54642290,C1C[C@@H]([C@@H](O[C@@H]1CCNC(=O)CC2=CC=CC=N2)CO)NC(=O)NC3=CC=C(C=C3)C(F)(F)F,Inactive,0,,,,,,1,0,,,,,,18.6869,18.6869,18,86.364,0.0075,50,,77.273,,86.364,,,4.545,,-27.273,,,4.545,,4.545,,,9.091,,,0,,0,,,-4.545,,,,,,,,,,,,,,,,,,,,,
82,131463871,54668358,C/C=C/C1=CC=C(C=C1)[C@H]2[C@@H]3CN(CCCCN3[C@H]2CO)S(=O)(=O)C4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,4.41178,4.41178,17,17.857,0.6,50,,0.595,,-8.333,,,8.929,,0.595,,,4.167,,17.857,,,-0.595,,,-8.333,,14.286,,,0,,,,,,,,,,,,,,,,,,,,,
83,131461765,54666252,CN1[C@H]([C@H]2CCN([C@H]2C3=C1C=CC(=C3)C4=CC=C(C=C4)OC)S(=O)(=O)C5=CC=C(C=C5)OC)CO,Active,59,,,=,1.17,5.932,2,59,,=,1.17,5.932,2.871,1.235,-120,13,-92.826,1.8,1.8,0.652,,,4.348,,0,,,4.348,,-5,,,-13.696,,,-92.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,144198445,60192396,COC1=CC2=C(C=C1)C3=C(N2)[C@@H](N(CC34CCN(CC4)CC5=CC(=CC=C5)F)S(=O)(=O)C)CO,Inactive,0,,,,,,1,0,,,,,,14.7727,14.7727,16,29.72,16,50,,9.091,,23.077,,,15.385,,0.699,,,8.392,,9.79,,,20.629,,,7.692,,29.72,,,21.329,,,,,,,,,,,,,,,,,,,,,
85,131416706,54621433,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3CC3)O[C@H]1CN(C)CC4=CC=CC=N4)[C@H](C)CO,Active,49,,,=,11.79,4.928,2,49,,=,11.79,4.928,0.5,7.042,-100,18,-58.042,18,50,,-5.245,,,7.692,,3.147,,20.629,,,-46.154,,-10.839,,,,-15.385,,-45.105,,,-58.042,,-45.455,,,,,,,,,,,,,,,,,,,,,
86,131414014,54618910,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C3=CCCCC3)O[C@@H]1CN(C)C(=O)CC4=CC=NC=C4)[C@@H](C)CO,Inactive,0,,,,,,1,0,,,,,,4.553,100,20,52.651,50,50,,-8.712,,-3.788,,,8.712,,9.848,,,4.167,,18.182,,,4.545,,,4.545,,13.636,,,52.651,,,,,,,,,,,,,,,,,,,,,
87,131463810,54668297,C1CCC(C1)(C#CC2=CC=C(C=C2)[C@H]3[C@H]4CN(CCCCN4[C@@H]3CO)CC5=CC=CC=C5F)O,Inactive,0,,,,,,1,0,,,,,,-4.54547,-4.54547,18,-13.636,50,50,,4.545,,4.545,,,-4.545,,0,,,-4.545,,-9.091,,,-9.091,,,-9.091,,-9.091,,,-13.636,,,,,,,,,,,,,,,,,,,,,
88,131409521,54614539,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)O[C@H]1CN(C)C(=O)NC4=CC=CC=C4)[C@@H](C)CO,Inactive,0,,,,,,1,0,,,,,,-10.844,100,16,36.364,50,50,,-13.636,,-4.545,,,-18.182,,-4.545,,,-9.091,,-18.182,,,-9.091,,,-13.636,,0,,,36.364,,,,,,,,,,,,,,,,,,,,,
89,87543107,44619900,C[C@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=CC4=CC=CC=C43)[C@@H](C)CO)C)CN(C)CC5=CC6=C(C=C5)OCO6,Inactive,0,,,,,,1,0,,,,,,25,100,18,70.435,50,50,,26.087,,28.696,,,32.391,,32.391,,,28.043,,20,,,28.043,,,32.391,,46.087,,,70.435,,,,,,,,,,,,,,,,,,,,,
90,131461573,54666060,COC1=CC=C(C=C1)S(=O)(=O)N2CC[C@H]3[C@@H]2C4=C(C=CC(=C4)C5=CC=C(C=C5)C#N)N[C@@H]3CO,Active,58,,,=,1.57,5.804,2,58,,=,1.57,5.804,1.062,10.598,-100,17,-93.007,16,16,,8.392,,8.392,,,21.329,,-3.846,,,0.699,,-16.783,,,-51.049,,,-72.727,,-93.007,,,,,,,,,,,,,,,,,,,,,,,,
91,85796722,44490123,C[C@@H]1CN(C(=O)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)O[C@@H]1CN(C)CC4=CC(=C(C=C4)Cl)Cl)[C@H](C)CO,Active,53,,,=,4.82,5.317,2,53,,=,4.82,5.317,4,12.102,-69.123,18,-68.452,16,16,,21.429,,18.452,,,14.881,,-29.167,,,29.167,,16.071,,,13.095,,,-41.071,,-68.452,,,,,,,,,,,,,,,,,,,,,,,,
92,131442597,54646223,CN(C)C1=CC2=C(C=C1)O[C@@H]3[C@H]2C[C@H](O[C@@H]3CO)CC(=O)NCC4=CC=C(C=C4)OC5=CC=CC=C5,Inactive,0,,,,,,1,0,,,,,,7.428,100,16,42.391,50,50,,8.696,,4.348,,,13.043,,8.696,,,10,,0,,,8.696,,,23.043,,10,,,42.391,,,,,,,,,,,,,,,,,,,,,
93,131427032,54631222,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C3=CC=C(C=C3)C)O[C@@H]1CN(C)C(=O)NC4=CC=C(C=C4)C(F)(F)F)[C@@H](C)CO,Active,43,,,=,50,4.301,2,43,,=,50,4.301,0.788,22.993,-100,16,-18.452,16,50,,16.667,,9.524,,,28.571,,8.333,,,18.452,,22.619,,,22.619,,,4.762,,-18.452,,,-13.69,,,,,,,,,,,,,,,,,,,,,
94,144190638,60185058,COC1=CC(=CC=C1)S(=O)(=O)N2C[C@@H]3C([C@H](C2)N3)C4=CC=C(C=C4)C5=CC=CC=C5F,Inactive,0,,,,,,1,0,,,,,,4.157,100,17,52.174,50,50,,9.348,,-4.348,,,10,,0,,,4.348,,0,,,20,,,0,,14.348,,,52.174,,,,,,,,,,,,,,,,,,,,,
95,131461096,54665583,CN1[C@@H]([C@H]2CCN([C@H]2C3=C1C=CC(=C3)C4=CC=C(C=C4)F)S(=O)(=O)C5=CC=CC=C5OC)CO,Active,48,,,=,15,4.824,2,48,,=,15,4.824,1.013,25,-100,17,-30.357,15,15,33.333,,27.381,,,26.786,,22.619,,22.024,,,13.69,,,12.5,,,0.595,,-30.357,,,,,,,,,,,,,,,,,,,,,,,,,
96,144188796,60183379,C1CCC(CC1)C#CC2=CC=C(C=C2)[C@@H]3[C@@H]4CN(CC(=O)N4[C@H]3CO)C(=O)NC5=C(C=CC(=C5)F)F,Inactive,0,,,,,,1,0,,,,,,13.8756,13.8756,19,154.545,50,50,,7.692,,7.692,,,-0.699,,12.238,,,12.238,,3.147,,,3.846,,,-0.699,,9.091,,,154.545,,,,,,,,,,,,,,,,,,,,,
97,131414963,54619807,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=CC=C3F)O[C@H]1CN(C)C(=O)C4=CC5=C(C=C4)OCO5)[C@@H](C)CO,Inactive,0,,,,,,1,0,,,,,,0.998,100,19,100,50,50,,-9.091,,-13.636,,,0,,22.727,,,13.636,,-4.545,,,4.545,,,-4.545,,13.636,,,100,,,,,,,,,,,,,,,,,,,,,
98,144197453,60191434,CS(=O)(=O)N1C[C@@H]2[C@@H]([C@@H](N2C(=O)C1)CO)C3=CC=C(C=C3)C#CC4=CC=C(C=C4)F,Active,46,,,=,23.88,4.622,2,46,,=,23.88,4.622,0.678,25,-100,18,-53.571,50,50,,35.714,,34.524,,,,,39.881,,,31.548,,-0.595,,,12.5,,,-17.262,,-22.024,,,-53.571,,,,,,,,,,,,,,,,,,,,,
99,144197387,60191368,CCS(=O)(=O)N1C[C@H]2[C@@H]([C@H](N2C(=O)C1)CO)C3=CC=C(C=C3)C#CCC(C)C,Active,72,,,=,0.0676,7.170,2,72,,=,0.0676,7.170,0.5,-25,-79.379,20,-89.881,50,50,,-43.452,,-54.167,,,-40.476,,-53.571,,,-62.5,,-52.976,,,-56.548,,,-66.667,,-83.929,,,-89.881,,,,,,,,,,,,,,,,,,,,,
100,85792930,44486465,C[C@@H]1CN(C(=O)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)O[C@H]1CN(C)CC4=CC=C(C=C4)OC5=CC=CC=C5)[C@@H](C)CO,Active,69,,,=,0.13,6.886,2,69,,=,0.13,6.886,3.724,16.054,-83.571,19,-102.976,16,50,,17.262,,26.786,,,2.976,,8.929,,,-70.238,,-69.643,,,-83.929,,,-85.119,,-102.976,,,-66.667,,,,,,,,,,,,,,,,,,,,,
101,144197325,60191306,CC(C)CC#CC1=CC=C(C=C1)[C@@H]2[C@@H]3CN(CC(=O)N3[C@H]2CO)C(=O)NC4=C(C=CC(=C4)F)F,Inactive,0,,,,,,1,0,,,,,,7.384,100,15,38.69,50,50,,-8.333,,4.167,,,0.595,,19.048,,,17.857,,8.333,,,,,,8.333,,9.524,,,38.69,,,,,,,,,,,,,,,,,,,,,
102,144190662,60185080,CC1=CC=CC=C1S(=O)(=O)N2C[C@@H]3C([C@H](C2)N3)C4=CC=C(C=C4)C5=CC=CC(=C5)C#N,Inactive,0,,,,,,1,0,,,,,,8.05324,8.05324,17,22.619,1.8,50,,8.333,,-4.762,,,8.333,,0,,,18.452,,14.286,,,22.619,,,8.333,,-7.738,,,9.524,,,,,,,,,,,,,,,,,,,,,
103,131422085,54626467,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=CC=C3F)O[C@H]1CN(C)C(=O)CC4=CN=CC=C4)[C@H](C)CO,Inactive,0,,,,,,1,0,,,,,,14.0978,14.0978,19,58.333,50,50,,22.024,,9.524,,,35.119,,30.357,,,30.357,,-18.452,,,3.571,,,-18.452,,-13.69,,,58.333,,,,,,,,,,,,,,,,,,,,,
104,131426088,54630348,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC(=CC=C3)OC)O[C@H]1CN(C)C(=O)C4=CC=CC=N4)[C@@H](C)CO,Inactive,0,,,,,,1,0,,,,,,16.3615,16.3615,19,130,50,50,,23.696,,9.348,,,10,,-4.348,,,28.696,,14.348,,,13.043,,,4.348,,-8.696,,,130,,,,,,,,,,,,,,,,,,,,,
105,131461713,54666200,CN1[C@@H]([C@H]2CCN([C@H]2C3=C1C=CC(=C3)C4=CC=C(C=C4)C#N)S(=O)(=O)C5=CC=CC(=C5)F)CO,Active,69,,,=,0.128,6.893,2,69,,=,0.128,6.893,1.828,5.256,-83.43,15,-133.333,0.68,18,,4.167,,,8.333,,1.191,,-21.429,,,-38.095,,,-133.333,,,-33.333,,-94.643,,,-76.786,,,,,,,,,,,,,,,,,,,,,,,
106,131414294,54619179,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC(=CC=C3)F)O[C@@H]1CN(C)C(=O)NC4CCCCC4)[C@H](C)CO,Inactive,0,,,,,,1,0,,,,,,-11.336,188.664,20,181.956,50,50,,10,,3.043,,,-14.348,,-14.348,,,-20,,-24.348,,,-15.652,,,4.348,,-38.043,,,181.956,,,,,,,,,,,,,,,,,,,,,
107,87541817,44618612,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)F)[C@@H](C)CO)C)CN(C)C(=O)NC4=CC=C(C=C4)C(F)(F)F,Inactive,0,,,,,,1,0,,,,,,9.522,59.522,15,57.143,16,50,,13.69,,19.048,,,8.929,,,,,16.667,,7.738,,,8.929,,,-19.048,,57.143,,,47.619,,,,,,,,,,,,,,,,,,,,,
