PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.26uM_(%)_TEST1,Activity_at_0.5uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_4.2uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.235uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.46uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_1.95uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_3.8uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_7.5uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_15uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_30uM_(%)_TEST2,Activity_at_35uM_(%)_TEST2
1038,131412011,54616954,C[C@@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)C3=CC=CC=C3)[C@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,50,,,=,10.15,4.994,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.15,4.994,3.153,0,-100,11,-117.758,35,35,,11.168,,,5.189,,,-1.015,,,,-6.717,,,-8.325,,,-31.912,,,-77.36,,,-117.758
1039,131414194,54619081,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CCC3CCCC3)O[C@H]1CN(C)S(=O)(=O)C4=CC=CC=C4OC)[C@@H](C)CO,Active,52,,,=,6.16,5.21,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.16,5.21,3.128,-17.349,-100,15,-117.886,35,35,,-10.465,,,-14.438,,,-18.61,,,,-30.024,,,-36.352,,,-70.641,,,-107.266,,,-117.886
1040,87542183,44618977,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)CC3=CC=CC=C3)O[C@@H]1CN(C)CC4=CC=C(C=C4)C5=CC=CC=C5)[C@H](C)CO,Active,50,,,=,9.36,5.029,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.36,5.029,2.066,0,-100,14,-120.933,35,35,,3.858,,,2.59,,,-4.896,,,,-11.206,,,-18.223,,,-39.423,,,-66.988,,,-120.933
1041,144190778,60185171,C1[C@@H]2C([C@@H](N2)CN1C(=O)NC3=CC=C(C=C3)F)C4=CC=C(C=C4)/C=C/C5=CC=CC=C5,Active,50,,,=,10.65,4.973,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.65,4.973,4,-4.551,-130.51,16,-124.202,35,35,,0.719,,,-2.015,,,-3.334,,,,-11.115,,,-14.076,,,-27.832,,,-118.365,,,-124.202
1042,131456925,54660447,C1C[C@H]2[C@@H](COC[C@H](CN2S(=O)(=O)C3=CC(=CC=C3)Cl)O)O[C@H]1CC(=O)NC4=CC=C(C=C4)C5=CC=CC=C5,Active,51,,,=,8.28,5.082,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.28,5.082,4,-9.629,-100,14,-116.817,35,35,,-6.062,,,-7.658,,,-5.022,,,,-13.875,,,-31.739,,,-47.152,,,-103.844,,,-116.817
1043,131414023,54618919,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=NC=C3)O[C@@H]1CN(C)S(=O)(=O)C4=CC=C(C=C4)C)[C@H](C)CO,Active,54,,,=,4.03,5.395,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.03,5.395,2.248,-18.308,-123.15,16,-122.804,35,35,,-19.369,,,-17.202,,,-24.67,,,,-36.788,,,-73.914,,,-104.336,,,-118.215,,,-122.804
1044,85797706,44491060,C[C@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)CC3=CC=CC=C3)O[C@@H]1CN(C)S(=O)(=O)C4=CC=C(C=C4)C)[C@H](C)CO,Active,45,,,=,29.81,4.526,,,,,,,,,,,,,,,,,,,,,,2,45,,=,29.81,4.526,1.658,-6.421,-100,14,-59.793,35,35,,-3.098,,,-9.455,,,,-8.546,,,-8.408,,,-10.043,,,-16.535,,,-30.119,,,-59.793
1045,131464572,54669059,C1CCN2[C@H](CN(C1)C(=O)CC3=CN=CC=C3)[C@@H]([C@@H]2CO)C4=CC=C(C=C4)/C=C/C5=CC=CC=C5,Active,54,,,=,4.42,5.355,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.42,5.355,1.86,-6.646,-115.098,15,-113.842,35,35,,-3.147,,,-15.477,,,-15.038,,,,-26.514,,,-58.207,,,-89.722,,,-103.853,,,-113.842
1046,144194869,60188862,C1CC(C1)C(=O)N2C[C@@H]3[C@@H]([C@@H](N3C(=O)C2)CO)C4=CC=C(C=C4)C#CC5=CC(=CC=C5)F,Active,50,,,=,10.63,4.973,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.63,4.973,2.212,11.836,-100,15,-108.083,35,35,,7.291,,,11.615,,,13.807,,,,15.242,,,-6.319,,,-27.179,,,-63.458,,,-108.083
1047,87539852,44616652,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)[C@H](C)CO)C)CN(C)CC4=CC=CC=C4,Active,48,,,=,17.15,4.766,,,,,,,,,,,,,,,,,,,,,,2,48,,=,17.15,4.766,3.214,-10.347,-100,16,-99.387,35,35,,-6.189,,,-2.127,,,-11.473,,,,-11.323,,,-16.316,,,-25.799,,,-44.921,,,-99.387
1048,131438976,54642639,C1CCN(C1)CCNC(=O)C[C@@H]2C=C[C@@H]([C@@H](O2)CO)NC(=O)NC3=CC=C(C=C3)C(F)(F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,70,4.155,0.975,0.176,-100,12,-14.101,35,35,,-2.74,,,1.864,,,-6.112,,,,2.653,,,-1.897,,,-5.472,,,-6.255,,,-14.101
1049,87543866,44620657,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)F,Active,53,,,=,4.78,5.321,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.78,5.321,2.129,-10.86,-107.577,16,-104.69,35,35,,-12.039,,,-7.866,,,-15.429,,,,-28.916,,,-48.591,,,-85.783,,,-101.586,,,-104.69
1050,131461186,54665673,CC1=CC(=CC=C1)S(=O)(=O)N2CC[C@H]3[C@@H]2C4=C(C=CC(=C4)C5=CC=C(C=C5)C#N)N([C@H]3CO)C,Active,50,,,=,10.06,4.997,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.06,4.997,3.744,-8.124,-100,15,-115.161,35,35,,-2.983,,,,-0.624,,,-10.712,,,-13.071,,,-18.066,,,,-42.741,,,-92.199,,-115.161
1051,85799282,44492583,C[C@@H]1CN(C(=O)CCCN2C(=CN=N2)CO[C@H]1CN(C)CC3=CC=C(C=C3)OC4=CC=CC=C4)[C@H](C)CO,Active,47,,,=,22.09,4.656,,,,,,,,,,,,,,,,,,,,,,2,47,,=,22.09,4.656,0.943,9.523,-100,12,-58.157,35,35,,,11.574,,,-1.657,,,14.619,,,0.828,,,-6.701,,,,-30.281,,,-29.645,,-58.157
1052,131412707,54617638,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)C)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,52,,,=,6.16,5.21,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.16,5.21,2.519,-11.167,-123.843,16,-121.364,35,35,,-10.307,,,-11.965,,,-14.926,,,,-14.328,,,-44.914,,,-83.334,,,-116.643,,,-121.364
1053,85798077,44491420,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC(C)C)O[C@@H]1CNC)[C@@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.71072,4.71072,16,14.473,0.26,35,,14.473,,,8.095,,,,12.34,,,-2.597,,,-4.079,,,2.501,,,6.514,,,0.438
1054,131447130,54650721,CCCC#CC1=CC=C(C=C1)[C@H]2[C@H](N([C@H]2C#N)C(=O)C3CCCCC3)CO,Active,58,,,=,1.55,5.81,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.55,5.81,1.866,0,-119.944,14,-126.997,35,35,,-2.773,,,-10.612,,,-39.431,,,,-73.259,,,-103.318,,,-117.972,,,-112.173,,,-126.997
1055,87541425,44618221,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC3=CC=CC=C3)O[C@H]1CN(C)CC4=CC=C(C=C4)OC5=CC=CC=C5)[C@@H](C)CO,Active,50,,,=,9.84,5.007,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.84,5.007,3.516,-15.643,-120.97,12,-118.023,35,35,,-6.701,,,-10.52,,,-10.152,,,,-24.376,,,-32.69,,,-46.999,,,-110.457,,,-118.023
1056,87543806,44620597,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@@H](C)CO)C)CN(C)CC4=CC=NC=C4,Active,53,,,=,5.52,5.258,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.52,5.258,0.5,20.281,-100,12,-44.495,8,8,,-2.611,,,-2.177,,,-21.727,,,,-22.801,,,-37.414,,,-44.495,,,,,,
1057,131460486,54664973,COC1=CC(=CC=C1)S(=O)(=O)N2CC[C@H]3[C@@H]2C4=C(C=CC(=C4)C5=CCCCC5)N[C@H]3CO,Active,50,,,=,10.01,5,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.01,5,4,2.567,-100,14,-116.517,35,35,,2.155,,,10.248,,,1.765,,,,1.046,,,-13.12,,,-25.196,,,-87.376,,,-116.517
1058,144198876,60192822,CN(C)C(=O)C1=CC=CC(=C1)C2=CC=CC=C2[C@H]3[C@@H](N([C@@H]3C#N)C(=O)C4CC4)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-6.84264,-6.84264,15,-15.152,30,30,,-4.516,,,-0.628,,,-11.02,,,-5.65,,,,-10.936,,,-6.978,,,-4.017,,-15.152,
1059,131412382,54617317,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,52,,,=,7.08,5.15,,,,,,,,,,,,,,,,,,,,,,2,52,,=,7.08,5.15,2.069,-4.02,-130.057,16,-122.085,35,35,,-2.183,,,-4.881,,,-5.733,,,,-15.347,,,-38.286,,,-69.457,,,-117.138,,,-122.085
1060,144194087,60188165,C1CC1C(=O)N2C[C@@H]3C([C@H](C2)N3)C4=CC=C(C=C4)C5=CC=CC=C5F,Active,59,,,=,1.2,5.921,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.2,5.921,1.959,-9.158,-120.261,16,-123.004,35,35,,-17.174,,,-21.931,,,,-62.016,,,-93.965,,,-108.768,,,-112.776,,,-122.632,,,-123.004
1061,87543292,44620085,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@H](C)CO)C)CN(C)CC4=CC5=C(C=C4)OCO5,Active,51,,,=,7.63,5.117,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.63,5.117,2.457,-1.717,-131.399,16,-123.987,35,35,,3.137,,,-0.269,,,-2.705,,,,-14.058,,,-27.227,,,-65.251,,,-120.834,,,-123.987
1062,131447111,54650702,C1=CC(=CC=C1C#CC2=CC=C(C=C2)F)[C@@H]3[C@H](N([C@@H]3C#N)C(=O)NC4=CC=C(C=C4)F)CO,Active,54,,,=,4.38,5.359,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.38,5.359,2.449,-16.18,-100,14,-113.532,16,16,,-15.46,,,-14.689,,,-19.862,,,,-29.853,,,-56.676,,,-77.391,,,-113.532,,,
1063,131447882,54651469,CCCNC(=O)N(C)C[C@@H]1[C@H]([C@@H](N1)CO)C2=CC=C(C=C2)C3=CCCCC3,Active,55,,,=,3.47,5.46,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.47,5.46,4,10.999,-118.541,15,-119.499,35,35,,3.2,,,,6.424,,,15.763,,,15.321,,,-82.848,,,-113.041,,,-116.309,,,-119.499
1064,85805571,44498634,C[C@@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)F)[C@@H](C)CO)C)CN(C)C(=O)C4CCCCC4,Active,54,,,=,4.07,5.39,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.07,5.39,2.295,-8.3,-118.809,16,-116.446,35,35,,-6.044,,,,-9.848,,,-16.591,,,-27.246,,,-65.296,,,-99.722,,,-115.91,,,-116.446
1065,131411676,54616622,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@H](C)CO)C)CN(C)CC4=CC=NC=C4,Active,52,,,=,6.48,5.188,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.48,5.188,2.274,-6.128,-128.654,14,-123.375,35,35,,5.269,,,-7.491,,,-10.537,,,,-20.709,,,-36.598,,,-81.08,,,-118.625,,,-123.375
1066,131409577,54614594,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)O[C@H]1CN(C)C(=O)NC4=CC=C(C=C4)C(F)(F)F)[C@@H](C)CO,Active,49,,,=,12.99,4.886,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.99,4.886,1.458,11.311,-100,14,-58.046,18,18,,12.516,,,,14.323,,,0.003,,,6.437,,,-6.796,,,,-28.942,,,-58.046,,
1067,87543088,44619881,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC4=C(C=C3)OCO4)[C@@H](C)CO)C)CN(C)CC5=CC=C(C=C5)C(F)(F)F,Active,52,,,=,7.11,5.148,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.11,5.148,3.462,5.158,-116.479,16,-116.286,35,35,,9.059,,,3.939,,,1.879,,,,3.738,,,-11.623,,,-68.155,,,-109.176,,,-116.286
1068,87543554,44620346,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@H](C)CO)C)CN(C)C(=O)NC4=CC=C(C=C4)F,Active,59,,,=,1.41,5.851,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.41,5.851,4,-10.898,-117.551,27,-117.196,16,35,,-6.932,,,-20.604,-24.953,,-24.29,,,,-103.415,,,-116.009,,,-116.894,-116.8,,-117.196,-115.268,,-116.986
1069,134961993,56835259,C[C@@H]1CN(C(=O)C2=C(C3=CC=CC=C3CO[C@H]1CN(C)S(=O)(=O)C4=CC=CC=C4F)C5=CC=CC=C5N2C)[C@@H](C)CO,Active,52,,,=,5.88,5.231,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.88,5.231,2.223,17.176,-100,13,-105.093,18,18,,20.521,,,,14.199,,,16.283,,,2.291,,,-19.992,,,,-63.799,,,-105.093,,
1070,131456584,54660109,C1C[C@H]2[C@@H](COC[C@H](CN2CC3=CC(=CC=C3)C(F)(F)F)O)O[C@@H]1CC(=O)NCC4=CC=C(C=C4)F,Active,46,,,=,27.85,4.555,,,,,,,,,,,,,,,,,,,,,,2,46,,=,27.85,4.555,0.598,10.079,-100,13,-36.095,16,16,,2.828,,,2.881,,,,-4.338,,,-10.982,,,-13.784,,,-25.456,,,-36.095,,,
1071,87540527,44617323,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)C3CC3)O[C@@H]1CN(C)CC4=CC=C(C=C4)C5=CC=CC=C5)[C@H](C)CO,Active,46,,,=,26.08,4.584,,,,,,,,,,,,,,,,,,,,,,2,46,,=,26.08,4.584,4,-1.679,-100,15,-88.705,35,35,,-0.52,,,2.501,,,-6.336,,,,-6.285,,,-4.534,,,-1.873,,,-3.985,,,-88.705
1072,131411774,54616720,C[C@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)F)[C@H](C)CO)C)CN(C)CC4=CC5=C(C=C4)OCO5,Active,50,,,=,10.93,4.961,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.93,4.961,1.366,5.549,-100,14,-59.029,16,16,,7.378,,,0.942,,,,2.403,,,-7.828,,,-11.18,,,-40.661,,,-59.029,,,
1073,131412496,54617430,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)C)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)F,Active,57,,,=,2.11,5.676,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.11,5.676,1.584,-9.183,-120.317,15,-119.13,35,35,,-13.701,,,-18.088,,,-34.844,,,,-65.7,,,-91.003,,,-109.035,,,-115.775,,,-119.13
1074,131462446,54666933,CC1=CC=CC=C1C2=CC=C(C=C2)[C@H]3[C@@H]4CN(CCCCN4[C@H]3CO)C(=O)NC5=CC(=CC=C5)F,Active,47,,,=,19.55,4.709,,,,,,,,,,,,,,,,,,,,,,2,47,,=,19.55,4.709,4,-12.443,-100,12,-123.302,35,35,,-12.856,,,-5.353,,,-9.905,,,,-15.389,,,-16.953,,,-21.84,,,-32.262,,,-123.302
1075,87539608,44616408,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=CS4,Active,55,,,=,3.17,5.499,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.17,5.499,1.699,-0.426,-118.791,15,-115.678,35,35,,-0.256,,,-9.175,,,-9.948,,,,-54.902,,,-63.035,,,-107.818,,,-109.207,,,-115.678
1076,131412025,54616967,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)[C@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Active,48,,,=,15.56,4.808,,,,,,,,,,,,,,,,,,,,,,2,48,,=,15.56,4.808,1.973,-3.297,-100,14,-52.673,16,16,,-1.612,,,-2.538,,,,-7.499,,,-5.214,,,-8.013,,,-24.914,,,-52.673,,,
1077,104170687,49843263,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,52,,,=,6.62,5.179,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.62,5.179,2.3,-7.349,-128.817,15,-124.846,35,35,,-6.294,,,-9.514,,,-9.078,,,,-13.207,,,-41.472,,,-75.969,,,-117.414,,,-124.846
1078,85804575,44497677,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC3CCCCC3)O[C@@H]1CN(C)CC4=CC=C(C=C4)C5=CC=CC=C5)[C@@H](C)CO,Active,45,,,=,30.6,4.514,,,,,,,,,,,,,,,,,,,,,,2,45,,=,30.6,4.514,2.272,6.233,-100,12,-54.618,35,35,,5.794,,,,,,3.694,,,,4.78,,,9.798,,,,,,-14.376,,,-54.618
1079,131411249,54616196,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@H](C)CO)C)CN(C)CC4=CC5=C(C=C4)OCO5,Active,50,,,=,9.15,5.039,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.15,5.039,4,-3.577,-100,15,-113.462,35,35,,5.443,,,1.172,,,-11.696,,,,-6.223,,,-12.416,,,-35.377,,,-97.546,,,-113.462
1080,85800281,44493514,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC3CCCCC3)O[C@H]1CN(C)S(=O)(=O)C4=CC=C(C=C4)Cl)[C@@H](C)CO,Active,49,,,=,11.87,4.926,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.87,4.926,2.165,-7.941,-100,14,-67.193,16,16,,-6.267,,,-10.253,,,-4.616,,,,-17.729,,,-9.874,,,-38.776,,,-67.193,,,
1081,87541727,44618522,C[C@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@H](C)CO)C)CN(C)CC4=CC=C(C=C4)OC,Active,50,,,=,9.16,5.038,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.16,5.038,4,-14.896,-100,14,-96.671,16,16,,-11.003,,,-6.217,,,-18.337,,,,-21.107,,,-22.887,,,-43.342,,,-96.671,,,
1082,87457183,44607898,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@@H](C)CO)C)CN(C)CC4=CC5=C(C=C4)OCO5,Active,48,,,=,14.55,4.837,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.55,4.837,2.029,-14.637,-100,15,-105.108,35,35,,-16.3,,,-13.034,,,-12.996,,,,-11.67,,,-28.071,,,-37.428,,,-53.193,,,-105.108
1083,87543354,44620146,C[C@@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)F)[C@@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Active,50,,,=,11.31,4.947,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.31,4.947,4,-11.296,-100,15,-114.001,35,35,,-8.462,,,1.047,,,-15.338,,,,-14.479,,,-22.158,,,-27.163,,,-81.4,,,-114.001
1084,85810889,44503801,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC3=CC=C(C=C3)F)O[C@H]1CN(C)C(=O)NC4=CC=C(C=C4)C(F)(F)F)[C@H](C)CO,Active,49,,,=,11.41,4.943,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.41,4.943,1.434,-2.896,-100,16,-95.534,35,35,,-1.437,,,0.037,,,-7.071,,,,-12.002,,,-31.892,,,-33.42,,,-54.866,,,-95.534
1085,131412012,54616955,C[C@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)C3=CC=CC=C3)[C@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,51,,,=,8.24,5.084,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.24,5.084,2.487,-0.076,-100,12,-110.869,35,35,,1.421,,,5.729,,,1.015,,,,-10.026,,,-21.929,,,-44.342,,,-83.858,,,-110.869
1086,131464869,54669356,CC1=CC=C(C=C1)C2=CC=C(C=C2)[C@@H]3[C@@H]4CN(CCCCN4[C@H]3CO)S(=O)(=O)C5=CC=CC(=C5)C,Active,51,,,=,8.11,5.091,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.11,5.091,1.426,-18.181,-100,14,-82.791,16,16,,-19.735,,,-13.672,,,-25.99,,,,-30.501,,,-43.941,,,-51.081,,,-82.791,,,
1087,85792258,44485806,C[C@@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=CC4=CC=CC=C43)[C@H](C)CO)C)CN(C)C,Active,45,,,=,33.51,4.475,,,,,,,,,,,,,,,,,,,,,,2,45,,=,33.51,4.475,2.196,-9.536,-100,12,-57.429,35,35,,-1.218,,,-10.723,,,-7.31,,,,-12.973,,,-7.716,,,-17.076,,,-20.508,,,-57.429
1088,144190858,60185238,CC1=CC(=CC=C1)S(=O)(=O)N2CCC3(CC2)CN([C@@H](C4=C3C5=C(N4C)C=C(C=C5)OC)CO)C(=O)NC6=CC=C(C=C6)F,Active,52,,,=,5.97,5.224,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.97,5.224,4,10.064,-106.836,15,-107.988,35,35,,13.846,,,15.461,,,8.624,,,,0.831,,,-10.506,,,-80.912,,,-102.552,,,-107.988
1089,104170827,49843434,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=CS3)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,46,,,=,25.21,4.598,,,,,,,,,,,,,,,,,,,,,,2,46,,=,25.21,4.598,2.132,-19.3,-100,14,-42.053,16,16,,-21.966,,,-20.109,,,-8.478,,,,-24.79,,,-25.991,,,-22.591,,,-42.053,,,
1090,87539986,44616785,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)CC3=CC=CC=C3)[C@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,18,4.745,0.784,17.129,-100,9,-20.04,9,9,,12.386,,,,9.125,,,15.025,,,1.787,,,-14.619,,,,-20.04,,,,,
1091,144191073,60185408,COC1=CC=CC(=C1)C2=CC=C(C=C2)C3[C@H]4CN(C[C@@H]3N4)CC5=CC(=CC=C5)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-5.4354,-5.4354,15,-13.254,35,35,,5.92,,,-6.352,,,11.831,,,,-3.941,,,-8.894,,,-10.626,,,-9.536,,,-13.254
