PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.009uM_(%)_TEST1,Activity_at_0.01uM_(%)_TEST1,Activity_at_0.011uM_(%)_TEST1,Activity_at_0.012uM_(%)_TEST1,Activity_at_0.016uM_(%)_TEST1,Activity_at_0.0285uM_(%)_TEST1,Activity_at_0.03uM_(%)_TEST1,Activity_at_0.035uM_(%)_TEST1,Activity_at_0.05uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.09uM_(%)_TEST1,Activity_at_0.1uM_(%)_TEST1,Activity_at_0.11uM_(%)_TEST1,Activity_at_0.15uM_(%)_TEST1,Activity_at_0.235uM_(%)_TEST1,Activity_at_0.285uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.35uM_(%)_TEST1,Activity_at_0.46uM_(%)_TEST1,Activity_at_0.75uM_(%)_TEST1,Activity_at_0.8uM_(%)_TEST1,Activity_at_0.9uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_1.35uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_2.85uM_(%)_TEST1,Activity_at_3uM_(%)_TEST1,Activity_at_3.8uM_(%)_TEST1,Activity_at_6.8uM_(%)_TEST1,Activity_at_7.5uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,Activity_at_26uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.011uM_(%)_TEST2,Activity_at_0.035uM_(%)_TEST2,Activity_at_0.1uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_26uM_(%)_TEST2
53,131440234,54643884,COC1=CC=CC=C1S(=O)(=O)N[C@@H]2C=C[C@H](O[C@H]2CO)CC(=O)N3CCOCC3,Inactive,0,,,,,,1,0,,,,,,-7.04883,-7.04883,16,-14.997,26,26,,,-1.952,,,,,-3.602,,,,-3.099,,,,,-0.558,,,,,-8.88,,,,,-11.303,,,,,-11.999,,,,,-14.997,,,,,,,,,,,,,,,,,,,,,,
54,131424197,54628503,C[C@@H]1CN(C(=O)C2=C(N=CC(=C2)Br)O[C@H]1CN(C)CC3CCCC3)[C@H](C)CO,Inactive,0,,,,,,1,0,,,,,,-0.659451,-0.659451,15,-3.427,8,26,,,1.549,,,,,-1.911,,,,0.78,,,,,1.544,,,,,-0.29,,,,,-3.146,,,,,-3.427,,,,,-0.19,,,,,,,,,,,,,,,,,,,,,,
55,131428851,54632602,CCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@@H]([C@H](CN([C@@H](CO2)C)C(=O)COC)C)OC)C,Inactive,0,,,,,,1,0,,,,,,5.33133,5.33133,16,9.551,0.011,23.5,,,9.551,,,,,4.893,,,,5.448,,,,,8.098,,,,,6.73,,,,,3.681,,,,,1.139,,,,3.11,,,,,,,,,,,,,,,,,,,,,,,
56,131429305,54633055,C[C@@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)C3CC3)C(=O)N(C[C@@H]1OC)C)C)CC4=CC(=CC=C4)F,Inactive,0,,,,,,1,0,,,,,,2.80475,2.80475,16,6.81,0.3,26,,,5.544,,,,,4.395,,,,4.101,,,,,6.81,,,,,3.535,,,,,0.865,,,,,-0.924,,,,,-1.889,,,,,,,,,,,,,,,,,,,,,,
57,131444864,54648468,C1CCN(CC1)C(=O)C[C@H]2C[C@H]3[C@@H]([C@@H](O2)CO)OC4=C3C=C(C=C4)NC(=O)NC5=CC=CC=C5F,Inactive,0,,,,,,1,0,,,,,,-6.82594,-6.82594,16,-13.131,2.85,26,,,-1.654,,,,,-2.434,,,,-1.969,,,,,-0.535,,,,,-10.955,,,,,-13.131,,,,,-11.765,,,,,-12.164,,,,,,,,,,,,,,,,,,,,,,
58,131432243,54635983,CCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@H]([C@H](CN([C@@H](CO2)C)C(=O)CC)C)OC)C,Inactive,0,,,,,,1,0,,>,52,4.284,1.11,-0.943,-100,15,-10.055,26,26,,,0.45,,,,,-1.872,,,,-1.636,,,,,-3.46,,,,,1.03,,,,,-2.736,,,,,-3.425,,,,,-10.055,,,,,,,,,,,,,,,,,,,,,,
59,131442733,54646359,CN(C)C1=CC2=C(C=C1)O[C@@H]3[C@H]2C[C@H](O[C@H]3CO)CC(=O)NCC4=CC=CC=N4,Inactive,0,,,,,,1,0,,>,52,4.284,0.934,4.049,-100,15,-23.067,26,26,,,4.096,,,,,2.959,,,,3.012,,,,,5.358,,,,,2.559,,,,,-1.333,,,,,-6.419,,,,,-23.067,,,,,,,,,,,,,,,,,,,,,,
60,144193541,60187777,C1C[C@@H]2[C@@H](CN2S(=O)(=O)C3=CC=CC=C3[N+](=O)[O-])O[C@@H]1CNC(=O)C4CCOCC4,Inactive,0,,,,,,1,0,,,,,,3.99792,3.99792,14,6.269,0.3,8,,,4.819,,,,,3.711,,,,3.398,,,,,6.269,,,,,4.438,,,,,2.709,,,,,2.641,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,131446416,54650007,C1CCC(=CC1)C2=CC=C(C=C2)[C@@H]3[C@H](N([C@@H]3C#N)S(=O)(=O)C4=CC=CC=C4)CO,Inactive,0,,,,,,1,0,,>,47,4.328,0.856,0.804,-100,16,-19.615,23.5,23.5,,,0.319,,,,,0.567,,,,-0.611,,,,,3.773,,,,,-2.823,,,,-2.801,,,,,,-8.253,,,,-19.615,,,,,,,,,,,,,,,,,,,,,,,
62,131432233,54635973,CCCN1C[C@H]([C@H](CN(C(=O)C2=C(C=C(C=C2)NC(=O)CC)OC[C@H]1C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-9.5927,-9.5927,16,-15.597,26,26,,,-3.902,,,,,-5.797,,,,-7.448,,,,,-6.508,,,,,-9.972,,,,,-13.539,,,,,-13.979,,,,,-15.597,,,,,,,,,,,,,,,,,,,,,,
63,131432201,54635941,C[C@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)C3=CC=CC=C3OC)C(=O)N(C[C@H]1OC)C)C)CC4CC4,Inactive,0,,,,,,1,0,,,,,,3.78799,3.78799,16,5.904,0.9,26,,,5.805,,,,,1.279,,,,2.676,,,,,5.34,,,,,5.904,,,,,2.914,,,,,2.472,,,,,3.913,,,,,,,,,,,,,,,,,,,,,,
64,131429531,54633281,CCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@@H]([C@H](CN([C@H](CO2)C)C(=O)C3CC3)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-8.22193,-8.22193,15,-18.44,26,26,,,-7.689,,,,,-5.704,,,,-8.5,,,,,-10.842,,,,,-4.895,,,,,-1.527,,,,,-6.92,,,,,-18.44,,,,,,,,,,,,,,,,,,,,,,
65,131450074,54653652,COCC(=O)N1[C@@H]2CN(C3=CC=CC=C3[C@@H]2[C@@H]1CO)C(=O)NC4=CC=CC=C4F,Inactive,0,,,,,,1,0,,,,,,-0.303623,-0.303623,16,5.034,0.3,23.5,,,-1.102,,,,,-0.436,,,,0.289,,,,,5.034,,,,,-0.936,,,,0.134,,,,,,-2.287,,,,-3.125,,,,,,,,,,,,,,,,,,,,,,,
66,131428094,54631851,CCCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@H]([C@H](CN[C@H](CO2)C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-5.59284,-5.59284,16,-8.17,26,26,,,-4.981,,,,,-5.792,,,,-6.866,,,,,-6.414,,,,,-0.886,,,,,-4.866,,,,,-6.766,,,,,-8.17,,,,,,,,,,,,,,,,,,,,,,
67,144199290,60193188,C[C@H]1CN[C@@H](COC2=C(C=CC(=C2)NC(=O)C)C(=O)N(C[C@H]1OC)C)C,Inactive,0,,,,,,1,0,,,,,,1.54493,1.54493,16,4.487,0.9,26,,,3.606,,,,,1.458,,,,-0.161,,,,,-2.063,,,,,4.487,,,,,1.202,,,,,0.787,,,,,3.043,,,,,,,,,,,,,,,,,,,,,,
68,131442359,54645986,CN(C)C1=CC2=C(C=C1)O[C@@H]3[C@H]2C[C@H](O[C@H]3CO)CC(=O)N4CCOCC4,Active,44,,,=,42.42,4.372,2,44,,=,42.42,4.372,1.38,-4.856,-100,16,-33.689,23.5,23.5,,,-3.608,,,,,-5.063,,,,-8.474,,,,,-7.944,,,,,-0.353,,,,-4.992,,,,,,-15.104,,,,-33.689,,,,,,,,,,,,,,,,,,,,,,,
69,131428100,54631857,CCCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@@H]([C@@H](CN([C@@H](CO2)C)CC3=CC=C(C=C3)F)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-5.35274,-5.35274,16,-15.19,26,26,,,0.189,,,,,-5.366,,,,-2.69,,,,,-0.257,,,,,-3.82,,,,,-8.341,,,,,-7.346,,,,,-15.19,,,,,,,,,,,,,,,,,,,,,,
70,131457170,54660701,C1[C@H]2[C@@H]([C@H](N([C@H]2C3=CC=C(C(=O)N31)/C=C/C4=CC=CC=C4)CC5=CC6=C(C=C5)OCO6)C(=O)O)CO,Active,44,,,=,41.26,4.384,2,44,,=,41.26,4.384,0.741,0.679,-100,16,-41.786,26,26,,,1.929,,,,,-2.812,,,,-0.288,,,,,0.544,,,,,-4.621,,,,,-14.832,,,,,-19.815,,,,,-41.786,,,,,,,,,,,,,,,,,,,,,,
71,131432200,54635940,C[C@@H]1CN([C@@H](COC2=C(C=CC(=C2)NC(=O)C3=CC=CC=C3OC)C(=O)N(C[C@@H]1OC)C)C)CC4CC4,Inactive,0,,,,,,1,0,,,,,,0.527732,0.527732,16,4.234,0.3,26,,,3.962,,,,,0.43,,,,1.508,,,,,4.234,,,,,0.204,,,,,-1.194,,,,,-1.796,,,,,-3.126,,,,,,,,,,,,,,,,,,,,,,
72,131427257,44489805,C[C@H]1CN(C(=O)CCCN2C=C(CO[C@@H]1CN(C)C(=O)CCC(F)(F)F)N=N2)[C@@H](C)CO,Inactive,0,,,,,,1,0,,,,,,-7.70804,-7.70804,16,-15.161,26,26,,,,-5.015,,,,-6.675,,,,,-9.475,,,,-6.149,,,,,,-2.082,,,,-6.331,,,,,,-10.776,,,,-15.161,,,,,,,,,,,,,,,,,,,,,,
73,131431204,54634945,C[C@@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)C3CC3)C(=O)N(C[C@H]1OC)C)C)CC4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,-1.25974,-1.25974,16,-4.817,0.9,26,,,0.16,,,,,-1.153,,,,0.32,,,,,1.884,,,,,-4.817,,,,,-1.22,,,,,-3.081,,,,,-2.173,,,,,,,,,,,,,,,,,,,,,,
74,131429304,54633054,C[C@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)C3CC3)C(=O)N(C[C@H]1OC)C)C)CC4=CC(=CC=C4)F,Inactive,0,,,,,,1,0,,,,,,4.55704,4.55704,15,7.421,0.3,26,,,6.442,,,,,3.779,,,,4.761,,,,,7.421,,,,,4.598,,,,,4.319,,,,,3.691,,,,,1.011,,,,,,,,,,,,,,,,,,,,,,
75,131431202,54634943,C[C@@H]1CN([C@@H](COC2=C(C=CC(=C2)NC(=O)C3CC3)C(=O)N(C[C@H]1OC)C)C)CC4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,-5.70057,-5.70057,16,-8.953,0.1,26,,,-3.403,,,,,-6.821,,,,-8.953,,,,,-4.986,,,,,-0.804,,,,,-6.143,,,,,-7.157,,,,,-7.337,,,,,,,,,,,,,,,,,,,,,,
76,131432205,54635945,C[C@@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)C3=CC=CC=C3OC)C(=O)N(C[C@H]1OC)C)C)CC4CC4,Inactive,0,,,,,,1,0,,,,,,1.40642,1.40642,16,6.769,0.011,26,,,6.769,,,,,3.277,,,,3.091,,,,,3.358,,,,,3.235,,,,,-0.101,,,,,-1.823,,,,,-6.555,,,,,,,,,,,,,,,,,,,,,,
77,131429297,54633047,C[C@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)C3=CC=CC=C3)C(=O)N(C[C@H]1OC)C)C)C(=O)C4CC4,Inactive,0,,,,,,1,0,,,,,,-5.04302,-5.04302,16,-8.667,0.1,26,,,-4.966,,,,,-7.431,,,,-8.667,,,,,-3.462,,,,,0.088,,,,,-4.863,,,,,-7.102,,,,,-3.941,,,,,,,,,,,,,,,,,,,,,,
78,144197949,60191904,C/C=C/C1=CC=C(C=C1)[C@@H]2[C@@H](N(C23CN(C3)S(=O)(=O)C)C(=O)C4CCCC4)CO,Inactive,0,,,,,,1,0,,>,52,4.284,0.72,-2.416,-100,16,-17.151,26,26,,,,-1.403,,,,-6.634,,,,,-2.516,,,,,-1.958,,,,,0.064,,,,,-8.612,,,,,-10.723,,,,-17.151,,,,,,,,,,,,,,,,,,,,,,
79,131454107,54657662,C1C[C@H]2[C@@H](COC[C@@H](CN2S(=O)(=O)C3=CC=C(C=C3)OC4=CC=CC=C4)O)O[C@H]1CC(=O)O,Inactive,0,,,,,,1,0,,,,,,1.74801,1.74801,16,-5.322,26,26,,,4.502,,,,,3.706,,,,4.297,,,,,4.568,,,,,2.12,,,,,0.728,,,,,-0.616,,,,,-5.322,,,,,,,,,,,,,,,,,,,,,,
80,131431069,54634810,CCCN1C[C@H]([C@H](CN(C(=O)C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3)OC[C@H]1C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-0.123145,-0.123145,16,-2.199,0.035,26,,,-0.538,,,,,-2.199,,,,0.066,,,,,1.98,,,,,1.98,,,,,-1.239,,,,,-0.498,,,,,-0.537,,,,,,,,,,,,,,,,,,,,,,
81,131427863,54631620,CCCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@@H]([C@H](CN[C@@H](CO2)C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,1.85848,1.85848,16,4.642,0.011,26,,,4.642,,,,,0.177,,,,1.074,,,,,2.362,,,,,2.982,,,,,-0.878,,,,,0.39,,,,,4.118,,,,,,,,,,,,,,,,,,,,,,
82,131429530,54633280,CCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@@H]([C@@H](CN([C@H](CO2)C)C(=O)C3CC3)C)OC)C,Inactive,0,,,,,,1,0,,,,,,1.86795,1.86795,16,7.686,0.3,26,,,5.784,,,,,3.93,,,,2.973,,,,,7.686,,,,,1.979,,,,,-4.143,,,,,1.658,,,,,-4.923,,,,,,,,,,,,,,,,,,,,,,
83,131432199,54635939,C[C@@H]1CN([C@@H](COC2=C(C=CC(=C2)NC(=O)C3=CC=CC=C3OC)C(=O)N(C[C@H]1OC)C)C)CC4CC4,Inactive,0,,,,,,1,0,,,,,,-1.87133,-1.87133,16,-5.393,23.5,23.5,,,0.73,,,,,0.361,,,,-2.438,,,,,-3.732,,,,,1.287,,,,,-1.564,,,,,-4.221,,,,-5.393,,,,,,,,,,,,,,,,,,,,,,,
84,131432235,54635975,CCCN1C[C@H]([C@H](CN(C(=O)C2=C(C=C(C=C2)NC(=O)CC)OC[C@@H]1C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,0.302049,0.302049,16,3.481,0.9,26,,,,3.448,,,,-0.617,,,,-1.395,,,,,0.36,,,,,3.481,,,,,0.14,,,,,-2.016,,,,,-0.985,,,,,,,,,,,,,,,,,,,,,,
85,131429644,54633393,C[C@H]1CN([C@@H](COC2=C(C=CC(=C2)NC(=O)C3CC3)C(=O)N(C[C@H]1OC)C)C)CC4CCOCC4,Inactive,0,,,,,,1,0,,,,,,-3.72481,-3.72481,16,-8.06,8,26,,,2.068,,,,,-2.636,,,,-3.467,,,,,-0.029,,,,,-4.497,,,,,-5.636,,,,,-8.06,,,,,-7.542,,,,,,,,,,,,,,,,,,,,,,
86,131445080,54648682,C1CCC(C1)NC(=O)C[C@@H]2C[C@@H]3[C@H]([C@@H](O2)CO)OC4=C3C=C(C=C4)NC(=O)NC5=CC=CC=C5F,Inactive,0,,,,,,1,0,,,,,,1.66139,1.66139,16,-5.211,26,26,,,5.178,,,,,1.543,,,,4.353,,,,,4.815,,,,,3.807,,,,,0.16,,,,,-1.353,,,,,-5.211,,,,,,,,,,,,,,,,,,,,,,
87,131429299,54633049,C[C@H]1CN([C@@H](COC2=C(C=CC(=C2)NC(=O)C3=CC=CC=C3)C(=O)N(C[C@H]1OC)C)C)C(=O)C4CC4,Inactive,0,,,,,,1,0,,,,,,-1.23646,-1.23646,16,-5.553,2.85,26,,,,3.399,,,,-3.072,,,,0.783,,,,,1.208,,,,,-1.43,,,,,-5.553,,,,,-2.742,,,,,-2.486,,,,,,,,,,,,,,,,,,,,,,
88,144199054,60192979,CCCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@H]([C@@H](CN([C@@H](CO2)C)C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,1.67952,1.67952,16,5.799,0.011,26,,,5.799,,,,,2.961,,,,-1.779,,,,,3.32,,,,,4.02,,,,,-0.259,,,,,-1.649,,,,,1.023,,,,,,,,,,,,,,,,,,,,,,
89,144194408,60188420,C1CN(CCC1CC2=CC=CC=C2)C(=O)[C@H]3[C@@H]([C@H]4CN5C(=O)C=CC=C5[C@H]4N3CC6=CC=CC=N6)CO,Inactive,0,,,,,,1,0,,,,,,4.50734,4.50734,15,7.145,0.035,26,,,6.989,,,,,7.145,,,,4.307,,,,,6.889,,,,,6.063,,,,,3.692,,,,,1.541,,,,,-0.667,,,,,,,,,,,,,,,,,,,,,,
90,131427937,54631694,C[C@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)COC)C(=O)N(C[C@H]1OC)C)C)CC3CC3,Inactive,0,,,,,,1,0,,,,,,3.27698,3.27698,16,6.58,26,26,,,5.682,,,,,3.487,,,,-1.31,,,,,3.27,,,,,4.309,,,,,1.547,,,,,2.652,,,,,6.58,,,,,,,,,,,,,,,,,,,,,,
91,131429308,54633058,C[C@@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)C3CC3)C(=O)N(C[C@H]1OC)C)C)CC4=CC(=CC=C4)F,Inactive,0,,,,,,1,0,,,,,,0.796184,0.796184,16,-21.757,8,26,,,7.717,,,,,3.663,,,,2.756,,,,,6.83,,,,,5.588,,,,,2.27,,,,,-21.757,,,,,-0.698,,,,,,,,,,,,,,,,,,,,,,
92,131443173,54646799,C1CCC(CC1)NC(=O)NC2=CC3=C(C=C2)O[C@@H]4[C@H]3C[C@H](O[C@H]4CO)CC(=O)NCC5=CC=CC=N5,Active,51,,,=,7.79,5.108,2,51,,=,7.79,5.108,1.116,-2.315,-100,16,-83.235,26,26,,,2.027,,,,,-3.683,,,,-5.588,,,,,-4.894,,,,,-10.319,,,,,-29.392,,,,,-47.28,,,,,-83.235,,,,,,,,,,,,,,,,,,,,,,
93,131427992,54631749,CCCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@@H]([C@@H](CN[C@H](CO2)C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,1.27383,1.27383,16,3.453,0.9,26,,,,2.952,,,,-2.33,,,,0.022,,,,,2.049,,,,,3.453,,,,,-1.124,,,,,1.728,,,,,3.441,,,,,,,,,,,,,,,,,,,,,,
94,131431201,54634942,C[C@H]1CN([C@@H](COC2=C(C=CC(=C2)NC(=O)C3CC3)C(=O)N(C[C@H]1OC)C)C)CC4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,-4.10465,-4.10465,16,-7.347,26,26,,,-4.348,,,,,-4.356,,,,-2.026,,,,,-0.314,,,,,-2.481,,,,,-6.538,,,,,-5.426,,,,,-7.347,,,,,,,,,,,,,,,,,,,,,,
95,131431199,54634940,C[C@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)C3CC3)C(=O)N(C[C@H]1OC)C)C)CC4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,2.50685,2.50685,16,5.898,0.011,26,,,5.898,,,,,4.185,,,,1.392,,,,,3.29,,,,,5.716,,,,,2.507,,,,,-1.02,,,,,-1.912,,,,,,,,,,,,,,,,,,,,,,
96,131428218,54631974,C[C@@H]1CN[C@@H](COC2=C(C=CC(=C2)NS(=O)(=O)C3=CC(=CC=C3)Cl)C(=O)N(C[C@@H]1OC)C)C,Active,47,,,=,19.68,4.706,2,47,,=,19.68,4.706,1.131,2.568,-100,16,-57.338,26,26,,,5.85,,,,,1.979,,,,-0.769,,,,,2.039,,,,,0.575,,,,,-10.162,,,,,-22.912,,,,,-57.338,,,,,,,,,,,,,,,,,,,,,,
97,131430847,54634589,C[C@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)C)C(=O)N(C[C@H]1OC)C)C)C(=O)CC3CC3,Inactive,0,,,,,,1,0,,,,,,-1.28243,-1.28243,16,-4.726,2.85,26,,,0.81,,,,,-2.037,,,,-0.427,,,,,1.992,,,,,-2.259,,,,,-4.726,,,,,-2.036,,,,,-1.575,,,,,,,,,,,,,,,,,,,,,,
98,131431072,54634813,CCCN1C[C@@H]([C@@H](CN(C(=O)C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3)OC[C@H]1C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,2.66415,2.66415,16,4.701,0.3,26,,,4.399,,,,,0.819,,,,1.767,,,,,4.701,,,,,4.417,,,,,1.558,,,,,0.058,,,,,3.594,,,,,,,,,,,,,,,,,,,,,,
99,131429306,54633056,C[C@H]1CN([C@@H](COC2=C(C=CC(=C2)NC(=O)C3CC3)C(=O)N(C[C@H]1OC)C)C)CC4=CC(=CC=C4)F,Inactive,0,,,,,,1,0,,,,,,3.69153,3.69153,16,7.823,0.011,23.5,,,7.823,,,,,3.307,,,,2.497,,,,,7.583,,,,,5.337,,,,,2.444,,,,,0.919,,,,-0.376,,,,,,,,,,,,,,,,,,,,,,,
100,144197538,60191518,CN1[C@H]2CC[C@@H](O[C@@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)C4CC4)CC(=O)O,Active,46,,,=,23.08,4.637,2,46,,=,23.08,4.637,1.256,-4.081,-100,15,-55.403,26,26,,,-1.307,,,,,-3.793,,,,-5.513,,,,,-6.375,,,,,-4.471,,,,,-9.735,,,,,-24.85,,,,,-55.403,,,,,,,,,,,,,,,,,,,,,,
101,131428012,54631769,CCCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@@H]([C@H](CN([C@H](CO2)C)CC3=CC=C(C=C3)F)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-0.463606,-0.463606,16,-5.559,26,26,,,3.338,,,,,-2.329,,,,0.667,,,,,2.328,,,,,3.148,,,,,-3.304,,,,,-1.998,,,,,-5.559,,,,,,,,,,,,,,,,,,,,,,
102,131431071,54634812,CCCN1C[C@H]([C@H](CN(C(=O)C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3)OC[C@@H]1C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,1.00646,1.00646,16,-5.077,0.035,26,,,3.3,,,,,-5.077,,,,-0.624,,,,,3.057,,,,,2.529,,,,,1.235,,,,,0.232,,,,,3.401,,,,,,,,,,,,,,,,,,,,,,
103,131464208,54668695,C1CCN2[C@H](CN(C1)CC3=CN=CC=C3)[C@H]([C@@H]2CO)C4=CC=C(C=C4)C5=CC=CC=C5F,Inactive,0,,,,,,1,0,,,,,,3.28288,3.28288,16,7.126,0.9,26,,,1.563,,,,,-2.898,,,,1.169,,,,,4.594,,,,,7.126,,,,,3.238,,,,,6.78,,,,,4.691,,,,,,,,,,,,,,,,,,,,,,
104,131431070,54634811,CCCN1C[C@@H]([C@@H](CN(C(=O)C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3)OC[C@@H]1C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,4.57315,4.57315,16,6.534,0.011,26,,,6.534,,,,,4.839,,,,3.269,,,,,6.046,,,,,3.347,,,,,2.588,,,,,4.028,,,,,5.934,,,,,,,,,,,,,,,,,,,,,,
105,131429307,54633057,C[C@H]1CN([C@@H](COC2=C(C=CC(=C2)NC(=O)C3CC3)C(=O)N(C[C@@H]1OC)C)C)CC4=CC(=CC=C4)F,Inactive,0,,,,,,1,0,,,,,,-3.35304,-3.35304,16,-15.249,26,26,,,-2.32,,,,,-0.5,,,,0.59,,,,,3.464,,,,,-2.79,,,,,-3.53,,,,,-6.489,,,,,-15.249,,,,,,,,,,,,,,,,,,,,,,
106,131464104,54668591,C1CCN2[C@H](CN(C1)C(=O)C3=CC=NC=C3)[C@@H]([C@@H]2CO)C4=CC=C(C=C4)C#CC5=CC=CC=N5,Active,43,,,=,50.44,4.297,2,43,,=,50.44,4.297,1.003,5.19,-100,15,-30.224,26,26,,,,5.922,,,,3.55,,,,2.325,,,,,7.214,,,,,5.823,,,,,-0.095,,,,,-10.13,,,,,-30.224,,,,,,,,,,,,,,,,,,,,,,
107,131428102,54631859,C[C@H]1CN([C@@H](COC2=C(C=CC(=C2)NC(=O)COC)C(=O)N(C[C@H]1OC)C)C)CC3CC3,Inactive,0,,,,,,1,0,,,,,,-1.76741,-1.76741,16,-12.108,26,26,,,4.267,,,,,-0.873,,,,-0.457,,,,,3.656,,,,,0.699,,,,,-3.878,,,,,-5.445,,,,,-12.108,,,,,,,,,,,,,,,,,,,,,,
108,131431074,54634815,CCCN1C[C@H]([C@@H](CN(C(=O)C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3)OC[C@@H]1C)C)OC)C,Inactive,0,,,,,,1,0,,>,52,4.284,1.044,-4.231,-100,16,-33.818,26,26,,,-1.68,,,,,-4.574,,,,-5.368,,,,,-2.646,,,,,-6.72,,,,,-13.22,,,,,-10.886,,,,,-33.818,,,,,,,,,,,,,,,,,,,,,,
109,144198761,60192724,CC1=CC=CC=C1S(=O)(=O)N2[C@@H]3CNC[C@H]2C3C4=CC=C(C=C4)C5=CC=C(C=C5)C#N,Active,45,,,=,30.91,4.51,2,45,,=,30.91,4.51,1.057,1.715,-100,16,-44.743,26,26,,,,4.031,,,,-0.936,,,,,0.997,,,,2.202,,,,,-0.758,,,,,-6.812,,,,,,-19.293,,,,-44.743,,,,,,,,,,,,,,,,,,,,,,
